# Apophis->SpacecraftZ in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 06:50:00.0000 ET, +3.9432318867191302e-01, +2.5609496906637896e-01, -1.2593672407291805e+00, +3.3642641022751523e-05, -2.2608731191025283e-05, +9.9849904857775790e-06
01-JUL-2028 07:00:00.0000 ET, +4.1442099301515711e-01, +2.4247563059244806e-01, -1.2530978869849823e+00, +3.3347302072159967e-05, -2.2787566600140121e-05, +1.0912885910846366e-05
01-JUL-2028 07:10:00.0000 ET, +4.3433665280311029e-01, +2.2875169769119391e-01, -1.2462717569497588e+00, +3.3035471115056273e-05, -2.2957359081050827e-05, +1.1840884563657311e-05
01-JUL-2028 07:20:00.0000 ET, +4.5406023363010883e-01, +2.1492863310479626e-01, -1.2388888377252889e+00, +3.2707016311907646e-05, -2.3117984303291942e-05, +1.2768821910309244e-05
01-JUL-2028 07:30:00.0000 ET, +4.7358171992250592e-01, +2.0101197605291932e-01, -1.2309492171085954e+00, +3.2361798921419455e-05, -2.3269311624929088e-05, +1.3696526737547674e-05
01-JUL-2028 07:40:00.0000 ET, +4.9289101085570675e-01, +1.8700734604152180e-01, -1.2224530877472959e+00, +3.1999673605019748e-05, -2.3411204091985642e-05, +1.4623820687391489e-05
01-JUL-2028 07:50:00.0000 ET, +5.1197791622959576e-01, +1.7292044682513280e-01, -1.2134007516452652e+00, +3.1620487861630677e-05, -2.3543517846033576e-05, +1.5550517520877740e-05
01-JUL-2028 08:00:00.0000 ET, +5.3083215244545923e-01, +1.5875707043332327e-01, -1.2037926249950788e+00, +3.1224082680312938e-05, -2.3666102334148913e-05, +1.6476422692838830e-05
01-JUL-2028 08:10:00.0000 ET, +5.4944333846026294e-01, +1.4452310135105917e-01, -1.1936292433892726e+00, +3.0810292349301856e-05, -2.3778799945833354e-05, +1.7401332666863198e-05
01-JUL-2028 08:20:00.0000 ET, +5.6780099181274379e-01, +1.3022452079603247e-01, -1.1829112674000295e+00, +3.0378944542152940e-05, -2.3881445821176583e-05, +1.8325034271737573e-05
01-JUL-2028 08:30:00.0000 ET, +5.8589452469260306e-01, +1.1586741112097820e-01, -1.1716394885580417e+00, +2.9929860430849197e-05, -2.3973867665034655e-05, +1.9247304034656067e-05
01-JUL-2028 08:40:00.0000 ET, +6.0371324006608484e-01, +1.0145796033894783e-01, -1.1598148357444182e+00, +2.9462854791767472e-05, -2.4055885542262731e-05, +2.0167907475998191e-05
01-JUL-2028 08:50:00.0000 ET, +6.2124632787693035e-01, +8.7002466767963527e-02, -1.1474383820137051e+00, +2.8977736122600762e-05, -2.4127311664812777e-05, +2.1086598367464695e-05
01-JUL-2028 09:00:00.0000 ET, +6.3848286132657783e-01, +7.2507343802041824e-02, -1.1345113518715262e+00, +2.8474306732824242e-05, -2.4187950140459336e-05, +2.2003117929399491e-05
01-JUL-2028 09:10:00.0000 ET, +6.5541179325776222e-01, +5.7979124800580650e-02, -1.1210351290208038e+00, +2.7952363307815214e-05, -2.4237597062592165e-05, +2.2917194227025154e-05
01-JUL-2028 09:20:00.0000 ET, +6.7202195261993980e-01, +4.3424468125344173e-02, -1.1070112646208037e+00, +2.7411696240780848e-05, -2.4276039644811257e-05, +2.3828540874968229e-05
01-JUL-2028 09:30:00.0000 ET, +6.8830204110362225e-01, +2.8850162270330437e-02, -1.0924414860428748e+00, +2.6852090781315394e-05, -2.4303056711930268e-05, +2.4736856628644272e-05
01-JUL-2028 09:40:00.0000 ET, +7.0424062988441438e-01, +1.4263131144128471e-02, -1.0773277061912605e+00, +2.6273326788961164e-05, -2.4318418109420197e-05, +2.5641824192278320e-05
01-JUL-2028 09:50:00.0000 ET, +7.1982615655117521e-01, -3.2956053934973806e-04, -1.0616720333818466e+00, +2.5675179146223003e-05, -2.4321884589107089e-05, +2.6543109307751689e-05
01-JUL-2028 10:00:00.0000 ET, +7.3504692220545509e-01, -1.4920701733441510e-02, -1.0454767818330839e+00, +2.5057418088821272e-05, -2.4313207605622478e-05, +2.7440359732958846e-05
01-JUL-2028 10:10:00.0000 ET, +7.4989108879317601e-01, -2.9502929429936708e-02, -1.0287444827650465e+00, +2.4419809578620120e-05, -2.4292129117877560e-05, +2.8333204172657765e-05
01-JUL-2028 10:20:00.0000 ET, +7.6434667665538203e-01, -4.4068722895509116e-02, -1.0114778961733837e+00, +2.3762115732793504e-05, -2.4258381403797787e-05, +2.9221251163708291e-05
01-JUL-2028 10:30:00.0000 ET, +7.7840156236362157e-01, -5.8610397810304748e-02, -9.9368002327642102e-01, +2.3084095330071356e-05, -2.4211686906196541e-05, +3.0104087931248927e-05
01-JUL-2028 10:40:00.0000 ET, +7.9204347684923881e-01, -7.3120100292936252e-02, -9.7535411968859209e-01, +2.2385504092372360e-05, -2.4151757839308214e-05, +3.0981278950051203e-05
01-JUL-2028 10:50:00.0000 ET, +8.0526000387652374e-01, -8.7589800831653575e-02, -9.5650370934009799e-01, +2.1666095872412228e-05, -2.4078296551722539e-05, +3.1852365161351365e-05
01-JUL-2028 11:00:00.0000 ET, +8.1803857890423193e-01, -1.0201128813341342e-01, -9.3713259917538339e-01, +2.0925622672959381e-05, -2.3990994814518007e-05, +3.2716862091372711e-05
01-JUL-2028 11:10:00.0000 ET, +8.3036648834293625e-01, -1.1637616287045316e-01, -9.1724489469278436e-01, +2.0163835764731906e-05, -2.3889534029314416e-05, +3.3574258771730119e-05
01-JUL-2028 11:20:00.0000 ET, +8.4223086932589108e-01, -1.3067583139738648e-01, -8.9684501630425617e-01, +1.9380486407185303e-05, -2.3773585034624878e-05, +3.4424016194176081e-05
01-JUL-2028 11:30:00.0000 ET, +8.5361870996715372e-01, -1.4490149938605068e-01, -8.7593771661244746e-01, +1.8575326792127959e-05, -2.3642808055529774e-05, +3.5265565818462405e-05
01-JUL-2028 11:40:00.0000 ET, +8.6451685023300751e-01, -1.5904416545239730e-01, -8.5452809859235079e-01, +1.7748111061901311e-05, -2.3496852661920633e-05, +3.6098307998313342e-05
01-JUL-2028 11:50:00.0000 ET, +8.7491198343342158e-01, -1.7309461474959509e-01, -8.3262163475209250e-01, +1.6898596439481459e-05, -2.3335357764458798e-05, +3.6921610347541782e-05
01-JUL-2028 12:00:00.0000 ET, +8.8479065845653637e-01, -1.8704341259938995e-01, -8.1022418726095036e-01, +1.6026544473790156e-05, -2.3157951648784795e-05, +3.7734806043487030e-05
01-JUL-2028 12:10:00.0000 ET, +8.9413928276527699e-01, -2.0088089813466836e-01, -7.8734202913962781e-01, +1.5131722489993098e-05, -2.2964252138433605e-05, +3.8537192173633398e-05
01-JUL-2028 12:20:00.0000 ET, +9.0294412628313581e-01, -2.1459717803080380e-01, -7.6398186649177102e-01, +1.4213904969928179e-05, -2.2753866587635920e-05, +3.9328027746498567e-05
01-JUL-2028 12:30:00.0000 ET, +9.1119132623903332e-01, -2.2818212034381791e-01, -7.4015086182730028e-01, +1.3272875359053354e-05, -2.2526392229312256e-05, +4.0106532015399276e-05
01-JUL-2028 12:40:00.0000 ET, +9.1886689305165781e-01, -2.4162534847661621e-01, -7.1585665853476887e-01, +1.2308427861092835e-05, -2.2281416405443915e-05, +4.0871882521046519e-05
01-JUL-2028 12:50:00.0000 ET, +9.2595671739030572e-01, -2.5491623535884456e-01, -6.9110740647405322e-01, +1.1320369453016505e-05, -2.2018516921795165e-05, +4.1623213146364658e-05
01-JUL-2028 13:00:00.0000 ET, +9.3244657849085710e-01, -2.6804389785294580e-01, -6.6591178876568502e-01, +1.0308522102295137e-05, -2.1737262503944616e-05, +4.2359612150612398e-05
01-JUL-2028 13:10:00.0000 ET, +9.3832215386561502e-01, -2.8099719146761593e-01, -6.4027904976099248e-01, +9.2727251812034157e-06, -2.1437213343579085e-05, +4.3080120162428159e-05
01-JUL-2028 13:20:00.0000 ET, +9.4356903052701657e-01, -2.9376470543110944e-01, -6.1421902422444719e-01, +8.2128381164584728e-06, -2.1117921775669792e-05, +4.3783728183063934e-05
01-JUL-2028 13:30:00.0000 ET, +9.4817271787356439e-01, -3.0633475821053535e-01, -5.8774216771231569e-01, +7.1287432765343218e-06, -2.0778933086924695e-05, +4.4469375598376576e-05
01-JUL-2028 13:40:00.0000 ET, +9.5211866235555531e-01, -3.1869539351897669e-01, -5.6085958820198600e-01, +6.0203489920940254e-06, -2.0419786282744540e-05, +4.5135947902424475e-05
01-JUL-2028 13:50:00.0000 ET, +9.5539226413599210e-01, -3.3083437697862039e-01, -5.3358307883832756e-01, +4.8875931960456728e-06, -2.0040015532079638e-05, +4.5782275301642915e-05
01-JUL-2028 14:00:00.0000 ET, +9.5797889583422757e-01, -3.4273919342646697e-01, -5.0592515195037091e-01, +3.7304468524844631e-06, -1.9639151046422426e-05, +4.6407130166624744e-05
01-JUL-2028 14:10:00.0000 ET, +9.5986392359670858e-01, -3.5439704507270342e-01, -4.7789907413624799e-01, +2.5489180783549043e-06, -1.9216720729866905e-05, +4.7009225503595381e-05
01-JUL-2028 14:20:00.0000 ET, +9.6103273064406380e-01, -3.6579485057019800e-01, -4.4951890247032911e-01, +1.3430564164007082e-06, -1.8772251791564523e-05, +4.7587213126183765e-05
01-JUL-2028 14:30:00.0000 ET, +9.6147074349884054e-01, -3.7691924515474895e-01, -4.2079952170231205e-01, +1.1295746535133552e-07, -1.8305272623342316e-05, +4.8139682018662745e-05
01-JUL-2028 14:40:00.0000 ET, +9.6116346109618278e-01, -3.8775658197629315e-01, -3.9175668241651618e-01, -1.1412321388378967e-06, -1.7815314934595676e-05, +4.8665156880480187e-05
01-JUL-2028 14:50:00.0000 ET, +9.6009648698903849e-01, -3.9829293480029659e-01, -3.6240703997908763e-01, -2.4193093905025309e-06, -1.7301916147120067e-05, +4.9162096860212818e-05
01-JUL-2028 15:00:00.0000 ET, +9.5825556486203478e-01, -4.0851410222952489e-01, -3.3276819417882364e-01, -3.7210092203783586e-06, -1.6764622059025696e-05, +4.9628894489545076e-05
01-JUL-2028 15:10:00.0000 ET, +9.5562661758172684e-01, -4.1840561364133388e-01, -3.0285872936927993e-01, -5.0459983503554749e-06, -1.6202990085086882e-05, +5.0063875487495927e-05
01-JUL-2028 15:20:00.0000 ET, +9.5219578999804499e-01, -4.2795273701470871e-01, -2.7269825495471395e-01, -6.3938690041199082e-06, -1.5616592081010923e-05, +5.0465297301164900e-05
