# Apophis->SpacecraftZ in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 09:40:00.0000 ET, -1.0173788327148627e+00, -8.8609177889668489e-02, -5.3241455091329548e-01, -9.0746467707501802e-06, -1.9220507262894445e-05, +4.5071011156018894e-05
13-DEC-2028 09:50:00.0000 ET, -1.0224645260808065e+00, -1.0010709808006357e-01, -5.0518664737597840e-01, -7.8730988390737585e-06, -1.9103238504186114e-05, +4.5685159689569755e-05
13-DEC-2028 10:00:00.0000 ET, -1.0268210642674436e+00, -1.1152982998133165e-01, -4.7759669078445138e-01, -6.6441168506530984e-06, -1.8969798820806670e-05, +4.6277648798885592e-05
13-DEC-2028 10:10:00.0000 ET, -1.0304319678407943e+00, -1.2286752452786454e-01, -4.4965805319805890e-01, -5.3876439254409407e-06, -1.8819698120033086e-05, +4.6847214023576118e-05
13-DEC-2028 10:20:00.0000 ET, -1.0332807353146360e+00, -1.3411003557094459e-01, -4.2138488311652467e-01, -4.1036642078897442e-06, -1.8652436337654421e-05, +4.7392531399989926e-05
13-DEC-2028 10:30:00.0000 ET, -1.0353508691923219e+00, -1.4524691412752766e-01, -3.9279214169104498e-01, -2.7922077250445794e-06, -1.8467504288450680e-05, +4.7912215897677839e-05
13-DEC-2028 10:40:00.0000 ET, -1.0366259050541951e+00, -1.5626740320960475e-01, -3.6389563978660122e-01, -1.4533555700351939e-06, -1.8264384601687767e-05, +4.8404819822245158e-05
13-DEC-2028 10:50:00.0000 ET, -1.0370894439114673e+00, -1.6716043333260866e-01, -3.3471207580584844e-01, -8.7245714762108174e-08, -1.8042553194925612e-05, +4.8868832189212960e-05
13-DEC-2028 11:00:00.0000 ET, -1.0367251880576254e+00, -1.7791461880718318e-01, -3.0525907417752468e-01, +1.3059211060916165e-06, -1.7801480476757889e-05, +4.9302677284243707e-05
13-DEC-2028 11:10:00.0000 ET, -1.0355169806885558e+00, -1.8851825498520491e-01, -2.7555522426168272e-01, +2.7258748660082456e-06, -1.7540633101251099e-05, +4.9704714216590408e-05
13-DEC-2028 11:20:00.0000 ET, -1.0334488495191783e+00, -1.9895931656634880e-01, -2.4562011956802016e-01, +4.1722693408230238e-06, -1.7259475925101953e-05, +5.0073236717334712e-05
13-DEC-2028 11:30:00.0000 ET, -1.0305050546734165e+00, -2.0922545716413610e-01, -2.1547439696839005e-01, +5.6446748062946614e-06, -1.6957474188432732e-05, +5.0406473223184595e-05
13-DEC-2028 11:40:00.0000 ET, -1.0266701410858572e+00, -2.1930401027107127e-01, -1.8513977571792961e-01, +7.1425702883544950e-06, -1.6634096036124166e-05, +5.0702587525744944e-05
13-DEC-2028 11:50:00.0000 ET, -1.0219289956819144e+00, -2.2918199184720445e-01, -1.5463909588967137e-01, +8.6653354006564543e-06, -1.6288815378054247e-05, +5.0959680007874572e-05
13-DEC-2028 12:00:00.0000 ET, -1.0162669095697503e+00, -2.3884610470894718e-01, -1.2399635593217988e-01, +1.0212241795054317e-05, -1.5921115047543367e-05, +5.1175789374550267e-05
13-DEC-2028 12:10:00.0000 ET, -1.0096696454817506e+00, -2.4828274496038971e-01, -9.3236748884395038e-02, +1.1782444221083486e-05, -1.5530490482720244e-05, +5.1348895490940661e-05
13-DEC-2028 12:20:00.0000 ET, -1.0021235106733637e+00, -2.5747801068128595e-01, -6.2386696835845586e-02, +1.3374971281881657e-05, -1.5116453550715770e-05, +5.1476922352343888e-05
13-DEC-2028 12:30:00.0000 ET, -9.9361543546721143e-01, -2.6641771314316887e-01, -3.1473883048036208e-02, +1.4988715876232887e-05, -1.4678537086002355e-05, +5.1557742745274011e-05
13-DEC-2028 12:40:00.0000 ET, -9.8413305759171976e-01, -2.7508739079137046e-01, -5.2728121519661497e-04, +1.6622425442791935e-05, -1.4216299690513658e-05, +5.1589183448824433e-05
13-DEC-2028 12:50:00.0000 ET, -9.7366481242356440e-01, -2.8347232627744279e-01, +3.0422818816826638e-02, +1.8274692060793426e-05, -1.3729331049940723e-05, +5.1569031717009180e-05
13-DEC-2028 13:00:00.0000 ET, -9.6220002918401704e-01, -2.9155756682474254e-01, +6.1344789596503274e-02, +1.9943942512859495e-05, -1.3217257711790627e-05, +5.1495042975829730e-05
13-DEC-2028 13:10:00.0000 ET, -9.4972903308390644e-01, -2.9932794819312580e-01, +9.2205649597851380e-02, +2.1628428425480910e-05, -1.2679749341893513e-05, +5.1364949872182203e-05
13-DEC-2028 13:20:00.0000 ET, -9.3624325331932978e-01, -3.0676812255330144e-01, +1.2297105265308717e-01, +2.3326216638097882e-05, -1.2116525463224323e-05, +5.1176472804823388e-05
13-DEC-2028 13:30:00.0000 ET, -9.2173533674518260e-01, -3.1386259053168819e-01, +1.5360528412609858e-01, +2.5035179927662620e-05, -1.1527362621685900e-05, +5.0927331886520350e-05
13-DEC-2028 13:40:00.0000 ET, -9.0619926693458197e-01, -3.2059573771105232e-01, +1.8407126482780833e-01, +2.6752988451736613e-05, -1.0912102153760323e-05, +5.0615261105788442e-05
13-DEC-2028 13:50:00.0000 ET, -8.8963048822384416e-01, -3.2695187583404595e-01, +2.1433056365645331e-01, +2.8477101598412289e-05, -1.0270657956783273e-05, +5.0238022798644607e-05
13-DEC-2028 14:00:00.0000 ET, -8.7202603419667091e-01, -3.3291528894767786e-01, +2.4434342003757087e-01, +3.0204761399520738e-05, -9.6030251935674752e-06, +4.9793425904913384e-05
13-DEC-2028 14:10:00.0000 ET, -8.5338465991437229e-01, -3.3847028468545870e-01, +2.7406877724296308e-01, +3.1932986775443853e-05, -8.9092888183319135e-06, +4.9279344378436860e-05
13-DEC-2028 14:20:00.0000 ET, -8.3370697705001151e-01, -3.4360125083273130e-01, +3.0346432764724096e-01, +3.3658569582268160e-05, -8.1896325508243647e-06, +4.8693738243753051e-05
13-DEC-2028 14:30:00.0000 ET, -8.1299559087309659e-01, -3.4829271728911471e-01, +3.3248657106371571e-01, +3.5378072452567342e-05, -7.4443478906345267e-06, +4.8034676177281066e-05
13-DEC-2028 14:40:00.0000 ET, -7.9125523788946561e-01, -3.5252942344528937e-01, +3.6109088715132576e-01, +3.7087828846987869e-05, -6.6738431402426010e-06, +4.7300359862528297e-05
13-DEC-2028 14:50:00.0000 ET, -7.6849292269817171e-01, -3.5629639094052001e-01, +3.8923162294084340e-01, +3.8783945645976351e-05, -5.8786522804545685e-06, +4.6489149957518809e-05
13-DEC-2028 15:00:00.0000 ET, -7.4471805247563494e-01, -3.5957900165067802e-01, +4.1686219633252147e-01, +4.0462308576780495e-05, -5.0594435207584914e-06, +4.5599593428509113e-05
13-DEC-2028 15:10:00.0000 ET, -7.1994256726999972e-01, -3.6236308066828193e-01, +4.4393521636002442e-01, +4.2118590656802256e-05, -4.2170273118863184e-06, +4.4630451817584436e-05
13-DEC-2028 15:20:00.0000 ET, -6.9418106407848168e-01, -3.6463498391902216e-01, +4.7040262086597850e-01, +4.3748264658460602e-05, -3.3523637924799710e-06, +4.3580731173829171e-05
13-DEC-2028 15:30:00.0000 ET, -6.6745091260572753e-01, -3.6638168990701991e-01, +4.9621583188154250e-01, +4.5346618522752136e-05, -2.4665690945263354e-06, +4.2449711226679316e-05
13-DEC-2028 15:40:00.0000 ET, -6.3977236029988271e-01, -3.6759089498330666e-01, +5.2132592897924324e-01, +4.6908775429746047e-05, -1.5609206618601260e-06, +4.1236975591540099e-05
