# Sun->Earth Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 08:00:00.0000 ET, +2.1923042920358736e+07, +1.3361548918573754e+08, +5.7918747573464327e+07, -2.9941283484177465e+01, +3.9669981670183594e+00, +1.7197772182739015e+00
13-DEC-2028 08:10:00.0000 ET, +2.1905077986359347e+07, +1.3361786838531104e+08, +5.7919779006613523e+07, -2.9941829772684244e+01, +3.9636670668985303e+00, +1.7183332742668236e+00
13-DEC-2028 08:20:00.0000 ET, +2.1887112724720843e+07, +1.3362024558620448e+08, +5.7920809573387660e+07, -2.9942375614533471e+01, +3.9603359000964393e+00, +1.7168893013522770e+00
13-DEC-2028 08:30:00.0000 ET, +2.1869147135711238e+07, +1.3362262078837784e+08, +5.7921839273769379e+07, -2.9942921009714603e+01, +3.9570046666639533e+00, +1.7154452995527447e+00
13-DEC-2028 08:40:00.0000 ET, +2.1851181219598521e+07, +1.3362499399179116e+08, +5.7922868107741348e+07, -2.9943465958217143e+01, +3.9536733666529380e+00, +1.7140012688907085e+00
13-DEC-2028 08:50:00.0000 ET, +2.1833214976650715e+07, +1.3362736519640452e+08, +5.7923896075286269e+07, -2.9944010460030562e+01, +3.9503420001152612e+00, +1.7125572093886514e+00
13-DEC-2028 09:00:00.0000 ET, +2.1815248407135826e+07, +1.3362973440217800e+08, +5.7924923176386848e+07, -2.9944554515144368e+01, +3.9470105671027942e+00, +1.7111131210690571e+00
13-DEC-2028 09:10:00.0000 ET, +2.1797281511321884e+07, +1.3363210160907176e+08, +5.7925949411025792e+07, -2.9945098123548071e+01, +3.9436790676674076e+00, +1.7096690039544096e+00
13-DEC-2028 09:20:00.0000 ET, +2.1779314289476912e+07, +1.3363446681704593e+08, +5.7926974779185839e+07, -2.9945641285231176e+01, +3.9403475018609728e+00, +1.7082248580671948e+00
13-DEC-2028 09:30:00.0000 ET, +2.1761346741868950e+07, +1.3363683002606073e+08, +5.7927999280849725e+07, -2.9946184000183205e+01, +3.9370158697353661e+00, +1.7067806834298980e+00
13-DEC-2028 09:40:00.0000 ET, +2.1743378868766040e+07, +1.3363919123607637e+08, +5.7929022916000210e+07, -2.9946726268393693e+01, +3.9336841713424633e+00, +1.7053364800650059e+00
13-DEC-2028 09:50:00.0000 ET, +2.1725410670436230e+07, +1.3364155044705309e+08, +5.7930045684620067e+07, -2.9947268089852169e+01, +3.9303524067341415e+00, +1.7038922479950054e+00
13-DEC-2028 10:00:00.0000 ET, +2.1707442147147574e+07, +1.3364390765895122e+08, +5.7931067586692072e+07, -2.9947809464548179e+01, +3.9270205759622803e+00, +1.7024479872423848e+00
13-DEC-2028 10:10:00.0000 ET, +2.1689473299168125e+07, +1.3364626287173103e+08, +5.7932088622199021e+07, -2.9948350392471276e+01, +3.9236886790787597e+00, +1.7010036978296326e+00
13-DEC-2028 10:20:00.0000 ET, +2.1671504126765963e+07, +1.3364861608535288e+08, +5.7933108791123733e+07, -2.9948890873611020e+01, +3.9203567161354633e+00, +1.6995593797792374e+00
13-DEC-2028 10:30:00.0000 ET, +2.1653534630209152e+07, +1.3365096729977718e+08, +5.7934128093449041e+07, -2.9949430907956966e+01, +3.9170246871842753e+00, +1.6981150331136901e+00
13-DEC-2028 10:40:00.0000 ET, +2.1635564809765778e+07, +1.3365331651496431e+08, +5.7935146529157758e+07, -2.9949970495498693e+01, +3.9136925922770813e+00, +1.6966706578554809e+00
13-DEC-2028 10:50:00.0000 ET, +2.1617594665703919e+07, +1.3365566373087473e+08, +5.7936164098232754e+07, -2.9950509636225796e+01, +3.9103604314657683e+00, +1.6952262540271004e+00
13-DEC-2028 11:00:00.0000 ET, +2.1599624198291671e+07, +1.3365800894746891e+08, +5.7937180800656885e+07, -2.9951048330127847e+01, +3.9070282048022231e+00, +1.6937818216510419e+00
13-DEC-2028 11:10:00.0000 ET, +2.1581653407797132e+07, +1.3366035216470735e+08, +5.7938196636413015e+07, -2.9951586577194444e+01, +3.9036959123383399e+00, +1.6923373607497971e+00
13-DEC-2028 11:20:00.0000 ET, +2.1563682294488404e+07, +1.3366269338255055e+08, +5.7939211605484076e+07, -2.9952124377415199e+01, +3.9003635541260082e+00, +1.6908928713458602e+00
13-DEC-2028 11:30:00.0000 ET, +2.1545710858633604e+07, +1.3366503260095915e+08, +5.7940225707852945e+07, -2.9952661730779713e+01, +3.8970311302171221e+00, +1.6894483534617248e+00
13-DEC-2028 11:40:00.0000 ET, +2.1527739100500844e+07, +1.3366736981989369e+08, +5.7941238943502545e+07, -2.9953198637277609e+01, +3.8936986406635765e+00, +1.6880038071198855e+00
13-DEC-2028 11:50:00.0000 ET, +2.1509767020358246e+07, +1.3366970503931482e+08, +5.7942251312415801e+07, -2.9953735096898519e+01, +3.8903660855172686e+00, +1.6865592323428380e+00
13-DEC-2028 12:00:00.0000 ET, +2.1491794618473940e+07, +1.3367203825918321e+08, +5.7943262814575665e+07, -2.9954271109632067e+01, +3.8870334648300977e+00, +1.6851146291530779e+00
13-DEC-2028 12:10:00.0000 ET, +2.1473821895116068e+07, +1.3367436947945952e+08, +5.7944273449965104e+07, -2.9954806675467900e+01, +3.8837007786539601e+00, +1.6836699975731027e+00
13-DEC-2028 12:20:00.0000 ET, +2.1455848850552760e+07, +1.3367669870010450e+08, +5.7945283218567088e+07, -2.9955341794395665e+01, +3.8803680270407619e+00, +1.6822253376254099e+00
13-DEC-2028 12:30:00.0000 ET, +2.1437875485052180e+07, +1.3367902592107889e+08, +5.7946292120364591e+07, -2.9955876466405030e+01, +3.8770352100424033e+00, +1.6807806493324973e+00
13-DEC-2028 12:40:00.0000 ET, +2.1419901798882458e+07, +1.3368135114234349e+08, +5.7947300155340619e+07, -2.9956410691485633e+01, +3.8737023277107894e+00, +1.6793359327168635e+00
13-DEC-2028 12:50:00.0000 ET, +2.1401927792311776e+07, +1.3368367436385909e+08, +5.7948307323478185e+07, -2.9956944469627171e+01, +3.8703693800978267e+00, +1.6778911878010090e+00
13-DEC-2028 13:00:00.0000 ET, +2.1383953465608299e+07, +1.3368599558558656e+08, +5.7949313624760322e+07, -2.9957477800819319e+01, +3.8670363672554227e+00, +1.6764464146074332e+00
13-DEC-2028 13:10:00.0000 ET, +2.1365978819040190e+07, +1.3368831480748677e+08, +5.7950319059170060e+07, -2.9958010685051747e+01, +3.8637032892354881e+00, +1.6750016131586372e+00
13-DEC-2028 13:20:00.0000 ET, +2.1348003852875631e+07, +1.3369063202952062e+08, +5.7951323626690462e+07, -2.9958543122314158e+01, +3.8603701460899313e+00, +1.6735567834771226e+00
13-DEC-2028 13:30:00.0000 ET, +2.1330028567382812e+07, +1.3369294725164907e+08, +5.7952327327304602e+07, -2.9959075112596263e+01, +3.8570369378706668e+00, +1.6721119255853916e+00
13-DEC-2028 13:40:00.0000 ET, +2.1312052962829914e+07, +1.3369526047383305e+08, +5.7953330160995528e+07, -2.9959606655887761e+01, +3.8537036646296077e+00, +1.6706670395059477e+00
13-DEC-2028 13:50:00.0000 ET, +2.1294077039485142e+07, +1.3369757169603363e+08, +5.7954332127746373e+07, -2.9960137752178372e+01, +3.8503703264186715e+00, +1.6692221252612940e+00
13-DEC-2028 14:00:00.0000 ET, +2.1276100797616705e+07, +1.3369988091821177e+08, +5.7955333227540217e+07, -2.9960668401457816e+01, +3.8470369232897723e+00, +1.6677771828739347e+00
13-DEC-2028 14:10:00.0000 ET, +2.1258124237492800e+07, +1.3370218814032860e+08, +5.7956333460360192e+07, -2.9961198603715829e+01, +3.8437034552948308e+00, +1.6663322123663746e+00
13-DEC-2028 14:20:00.0000 ET, +2.1240147359381646e+07, +1.3370449336234516e+08, +5.7957332826189436e+07, -2.9961728358942157e+01, +3.8403699224857673e+00, +1.6648872137611199e+00
13-DEC-2028 14:30:00.0000 ET, +2.1222170163551472e+07, +1.3370679658422263e+08, +5.7958331325011089e+07, -2.9962257667126529e+01, +3.8370363249145027e+00, +1.6634421870806775e+00
13-DEC-2028 14:40:00.0000 ET, +2.1204192650270507e+07, +1.3370909780592212e+08, +5.7959328956808329e+07, -2.9962786528258711e+01, +3.8337026626329616e+00, +1.6619971323475533e+00
13-DEC-2028 14:50:00.0000 ET, +2.1186214819806974e+07, +1.3371139702740484e+08, +5.7960325721564308e+07, -2.9963314942328470e+01, +3.8303689356930692e+00, +1.6605520495842556e+00
13-DEC-2028 15:00:00.0000 ET, +2.1168236672429129e+07, +1.3371369424863203e+08, +5.7961321619262218e+07, -2.9963842909325567e+01, +3.8270351441467505e+00, +1.6591069388132924e+00
13-DEC-2028 15:10:00.0000 ET, +2.1150258208405204e+07, +1.3371598946956491e+08, +5.7962316649885282e+07, -2.9964370429239775e+01, +3.8237012880459358e+00, +1.6576618000571735e+00
13-DEC-2028 15:20:00.0000 ET, +2.1132279428003456e+07, +1.3371828269016479e+08, +5.7963310813416697e+07, -2.9964897502060886e+01, +3.8203673674425538e+00, +1.6562166333384074e+00
13-DEC-2028 15:30:00.0000 ET, +2.1114300331492148e+07, +1.3372057391039297e+08, +5.7964304109839708e+07, -2.9965424127778700e+01, +3.8170333823885358e+00, +1.6547714386795054e+00
13-DEC-2028 15:40:00.0000 ET, +2.1096320919139545e+07, +1.3372286313021077e+08, +5.7965296539137527e+07, -2.9965950306382993e+01, +3.8136993329358138e+00, +1.6533262161029783e+00
