# Sun->Earth Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 10:30:00.0000 ET, +2.5667215493933585e+07, -1.3754529924215302e+08, -5.9622641089884795e+07, +2.8876435081332708e+01, +4.5107191353363660e+00, +1.9551074297723734e+00
01-JUL-2028 10:40:00.0000 ET, +2.5684541180674877e+07, -1.3754259187675402e+08, -5.9621467620596588e+07, +2.8875853990967041e+01, +4.5138321843033848e+00, +1.9564568597628111e+00
01-JUL-2028 10:50:00.0000 ET, +2.5701866518644355e+07, -1.3753988264354435e+08, -5.9620293341658488e+07, +2.8875272508660679e+01, +4.5169451709516482e+00, +1.9578062627424435e+00
01-JUL-2028 11:00:00.0000 ET, +2.5719191507606875e+07, -1.3753717154256138e+08, -5.9619118253086701e+07, +2.8874690634421373e+01, +4.5200580952410441e+00, +1.9591556386938849e+00
01-JUL-2028 11:10:00.0000 ET, +2.5736516147327278e+07, -1.3753445857384253e+08, -5.9617942354897454e+07, +2.8874108368256895e+01, +4.5231709571314607e+00, +1.9605049875997496e+00
01-JUL-2028 11:20:00.0000 ET, +2.5753840437570408e+07, -1.3753174373742530e+08, -5.9616765647106998e+07, +2.8873525710175006e+01, +4.5262837565827940e+00, +1.9618543094426502e+00
01-JUL-2028 11:30:00.0000 ET, +2.5771164378101103e+07, -1.3752902703334710e+08, -5.9615588129731551e+07, +2.8872942660183472e+01, +4.5293964935549313e+00, +1.9632036042052032e+00
01-JUL-2028 11:40:00.0000 ET, +2.5788487968684241e+07, -1.3752630846164551e+08, -5.9614409802787364e+07, +2.8872359218290072e+01, +4.5325091680077678e+00, +1.9645528718700211e+00
01-JUL-2028 11:50:00.0000 ET, +2.5805811209084675e+07, -1.3752358802235800e+08, -5.9613230666290723e+07, +2.8871775384502595e+01, +4.5356217799011986e+00, +1.9659021124197211e+00
01-JUL-2028 12:00:00.0000 ET, +2.5823134099067271e+07, -1.3752086571552214e+08, -5.9612050720257886e+07, +2.8871191158828811e+01, +4.5387343291951154e+00, +1.9672513258369182e+00
