# Apophis->SpacecraftY in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 07:20:00.0000 ET, +8.7507696177862704e-01, -6.2835207168456697e-02, +8.7424293383065887e-01, +2.3110007751657776e-05, +1.9410505245104298e-05, -3.4780830629053578e-05
13-DEC-2028 07:30:00.0000 ET, +8.8869289844482136e-01, -5.1169109153505365e-02, +8.5312990405221156e-01, +2.2272420711496673e-05, +1.9474754448852272e-05, -3.5594455373922040e-05
13-DEC-2028 07:40:00.0000 ET, +9.0179900495294751e-01, -3.9467613658315859e-02, +8.3153142354206910e-01, +2.1410525415781876e-05, +1.9528444187785376e-05, -3.6398898338490930e-05
13-DEC-2028 07:50:00.0000 ET, +9.1438060931034237e-01, -2.7737152280024602e-02, +8.0945318711519154e-01, +2.0524032067023413e-05, +1.9571252792001727e-05, -3.7193534853480571e-05
13-DEC-2028 08:00:00.0000 ET, +9.2642286636861748e-01, -1.5984353141895724e-02, +7.8690127448443214e-01, +1.9612653535182095e-05, +1.9602846830966901e-05, -3.7977706356267869e-05
13-DEC-2028 08:10:00.0000 ET, +9.3791075989211681e-01, -4.2160479779786986e-03, +7.6388217104110467e-01, +1.8676106888270498e-05, +1.9622880989398000e-05, -3.8750718849389756e-05
13-DEC-2028 08:20:00.0000 ET, +9.4882910550990152e-01, +7.5607206637329227e-03, +7.4040278965519879e-01, +1.7714114864092833e-05, +1.9630997830618778e-05, -3.9511841092532029e-05
13-DEC-2028 08:30:00.0000 ET, +9.5916255461727318e-01, +1.9338692096591892e-02, +7.1647049355728376e-01, +1.6726407589734887e-05, +1.9626827648164255e-05, -4.0260302839723280e-05
13-DEC-2028 08:40:00.0000 ET, +9.6889559937056235e-01, +3.1110380100102031e-02, +6.9209312027646397e-01, +1.5712724453791937e-05, +1.9609988339824385e-05, -4.0995293014694156e-05
13-DEC-2028 08:50:00.0000 ET, +9.7801257883208748e-01, +4.2868065438471215e-02, +6.6727900672474538e-01, +1.4672816125635855e-05, +1.9580085288049506e-05, -4.1715957784316277e-05
13-DEC-2028 09:00:00.0000 ET, +9.8649768643397051e-01, +5.4603788358803751e-02, +6.4203701538154556e-01, +1.3606446874932303e-05, +1.9536711366895224e-05, -4.2421398739769595e-05
13-DEC-2028 09:10:00.0000 ET, +9.9433497884789734e-01, +6.6309341069527905e-02, +6.1637656164799104e-01, +1.2513397025301941e-05, +1.9479446938602350e-05, -4.3110670938825317e-05
13-DEC-2028 09:20:00.0000 ET, +1.0015083864138417e+00, +7.7976260247250018e-02, +5.9030764236176658e-01, +1.1393465623434809e-05, +1.9407859890595176e-05, -4.3782780884621724e-05
13-DEC-2028 09:30:00.0000 ET, +1.0080017252817930e+00, +8.9595819621001827e-02, +5.6384086546242296e-01, +1.0246473480683775e-05, +1.9321505853660595e-05, -4.4436684703764213e-05
13-DEC-2028 09:40:00.0000 ET, +1.0137987114084235e+00, +1.0115902266818155e-01, +5.3698748082816961e-01, +9.0722663762258634e-06, +1.9219928409203764e-05, -4.5071286160711767e-05
13-DEC-2028 09:50:00.0000 ET, +1.0188829765821927e+00, +1.1265659548042817e-01, +5.0975941226465982e-01, +7.8707185930166060e-06, +1.9102659430720628e-05, -4.5685434772184631e-05
13-DEC-2028 10:00:00.0000 ET, +1.0232380866657373e+00, +1.2407897987169170e-01, +4.8216929060018976e-01, +6.6417367530709611e-06, +1.8969219527594136e-05, -4.6277923959411955e-05
13-DEC-2028 10:10:00.0000 ET, +1.0268475622250837e+00, +1.3541632677637971e-01, +4.5423048789411069e-01, +5.3852639763416682e-06, +1.8819118607101277e-05, -4.6847489262003450e-05
13-DEC-2028 10:20:00.0000 ET, +1.0296949017740122e+00, +1.4665849004579168e-01, +4.2595715264615230e-01, +4.1012844072811860e-06, +1.8651856605031101e-05, -4.7392806716307718e-05
13-DEC-2028 10:30:00.0000 ET, +1.0317636078158821e+00, +1.5779502069690032e-01, +3.9736424600751746e-01, +2.7898280729345752e-06, +1.8466924336163602e-05, -4.7912491291875574e-05
13-DEC-2028 10:40:00.0000 ET, +1.0330372159310410e+00, +1.6881516174171329e-01, +3.6846757884319370e-01, +1.4509760664315851e-06, +1.8263804429764691e-05, -4.8405095294312333e-05
13-DEC-2028 10:50:00.0000 ET, +1.0334993271307051e+00, +1.7970784369567916e-01, +3.3928384955584234e-01, +8.4866359672731969e-08, +1.8041972803394292e-05, -4.8869107739139065e-05
13-DEC-2028 11:00:00.0000 ET, +1.0331336437083656e+00, +1.9046168086945947e-01, +3.0983068257420793e-01, -1.3083003126589288e-06, +1.7800899865646061e-05, -4.9302952912018237e-05
13-DEC-2028 11:10:00.0000 ET, +1.0319240088599142e+00, +2.0106496861494705e-01, +2.8012666725834934e-01, -2.7282539240456681e-06, +1.7540052270586505e-05, -4.9704989922202855e-05
13-DEC-2028 11:20:00.0000 ET, +1.0298544503002751e+00, +2.1150568163183325e-01, +2.5019139711797062e-01, -4.1746482503227273e-06, +1.7258894874912337e-05, -5.0073512500774580e-05
13-DEC-2028 11:30:00.0000 ET, +1.0269092281533769e+00, +2.2177147353365623e-01, +2.2004550902493092e-01, -5.6470535672488307e-06, +1.6956892918745825e-05, -5.0406749084441372e-05
13-DEC-2028 11:40:00.0000 ET, +1.0230728873538109e+00, +2.3184967781293664e-01, +1.8971072223437399e-01, -7.1449489007553102e-06, +1.6633514546967691e-05, -5.0702863464808135e-05
13-DEC-2028 11:50:00.0000 ET, +1.0183303148269955e+00, +2.4172731042974216e-01, +1.5920987681933857e-01, -8.6677138644961025e-06, +1.6288233669455940e-05, -5.0959956024733687e-05
13-DEC-2028 12:00:00.0000 ET, +1.0126668016810978e+00, +2.5139107420050033e-01, +1.2856697122839542e-01, -1.0214620110324996e-05, +1.5920533119530936e-05, -5.1176065469194803e-05
13-DEC-2028 12:10:00.0000 ET, +1.0060681106485083e+00, +2.6082736522931782e-01, +9.7807198500490911e-02, -1.1784822387777371e-05, +1.5529908335321415e-05, -5.1349171663360107e-05
13-DEC-2028 12:20:00.0000 ET, +9.9852054898468012e-01, +2.7002228159596653e-01, +6.6956980725159931e-02, -1.3377349299990954e-05, +1.5115871183958256e-05, -5.1477198602527763e-05
13-DEC-2028 12:30:00.0000 ET, +9.9001104701223952e-01, +2.7896163457199386e-01, +3.6044001163913500e-02, -1.4991093745749801e-05, +1.4677954499913855e-05, -5.1558019073211824e-05
13-DEC-2028 12:40:00.0000 ET, +9.8052724245961731e-01, +2.8763096260274978e-01, +5.0972335109876477e-03, -1.6624803163708669e-05, +1.4215716885121880e-05, -5.1589459854505688e-05
13-DEC-2028 12:50:00.0000 ET, +9.7005757070349397e-01, +2.9601554833980304e-01, -2.5853032387764763e-02, -1.8277069633102190e-05, +1.3728748025273367e-05, -5.1569308200423401e-05
13-DEC-2028 13:00:00.0000 ET, +9.5859136096514552e-01, +3.0410043900652661e-01, -5.6775169080807208e-02, -1.9946319936552493e-05, +1.3216674467875386e-05, -5.1495319536966420e-05
13-DEC-2028 13:10:00.0000 ET, +9.4611893845540584e-01, +3.1187047036279347e-01, -8.7636195042151477e-02, -2.1630805700550376e-05, +1.2679165878758082e-05, -5.1365226511030886e-05
13-DEC-2028 13:20:00.0000 ET, +9.3263173237037655e-01, +3.1931029457932858e-01, -1.1840176410400743e-01, -2.3328593764536017e-05, +1.2115941780896385e-05, -5.1176749521373575e-05
