# Apophis->SpacecraftX in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
01-JUL-2028 10:00:00.0000 ET, -2.2238440266087118e+00, +2.8457386040060051e-01, +2.4549005880348242e+00, -1.7741586912549951e-05, +1.6094842497288211e-05, -1.7937465066671444e-05
01-JUL-2028 10:10:00.0000 ET, -2.2344573414621820e+00, +2.9422501483727448e-01, +2.4441017703176513e+00, -1.7636040487922482e-05, +1.6075598695854785e-05, -1.8058504741245868e-05
01-JUL-2028 10:20:00.0000 ET, -2.2450071689728035e+00, +3.0386449060243814e-01, +2.4332304897916894e+00, -1.7529962954905493e-05, +1.6055913727195412e-05, -1.8179007182853365e-05
01-JUL-2028 10:30:00.0000 ET, -2.2554931913727176e+00, +3.1349202320359693e-01, +2.4222870698781871e+00, -1.7423357439582929e-05, +1.6035788414041160e-05, -1.8298968929246092e-05
01-JUL-2028 10:40:00.0000 ET, -2.2659150927097311e+00, +3.2310734858278289e-01, +2.4112718361401000e+00, -1.7316226566780028e-05, +1.6015223092108374e-05, -1.8418385986622332e-05
01-JUL-2028 10:50:00.0000 ET, -2.2762725588575181e+00, +3.3271020312470734e-01, +2.4001851162710559e+00, -1.7208573859379970e-05, +1.5994218960047013e-05, -1.8537255310257946e-05
01-JUL-2028 11:00:00.0000 ET, -2.2865652775456544e+00, +3.4230032368364904e-01, +2.3890272400642241e+00, -1.7100402194864566e-05, +1.5972776590802792e-05, -1.8655573172452680e-05
01-JUL-2028 11:10:00.0000 ET, -2.2967929383244488e+00, +3.5187744754753902e-01, +2.3777985394500263e+00, -1.6991714689258174e-05, +1.5950896784510006e-05, -1.8773336098214518e-05
01-JUL-2028 11:20:00.0000 ET, -2.3069552326225580e+00, +3.6144131249202349e-01, +2.3664993484342824e+00, -1.6882514435072518e-05, +1.5928580315369388e-05, -1.8890540587181753e-05
01-JUL-2028 11:30:00.0000 ET, -2.3170518537205846e+00, +3.7099165675273094e-01, +2.3551300031272793e+00, -1.6772804552006368e-05, +1.5905827980830448e-05, -1.9007183168024598e-05
01-JUL-2028 11:40:00.0000 ET, -2.3270824967868835e+00, +3.8052821905854683e-01, +2.3436908417043156e+00, -1.6662588175146609e-05, +1.5882640590382681e-05, -1.9123260386495321e-05
01-JUL-2028 11:50:00.0000 ET, -2.3370468588579385e+00, +3.9005073861008865e-01, +2.3321822044284199e+00, -1.6551868445398725e-05, +1.5859018955734208e-05, -1.9238768793735434e-05
01-JUL-2028 12:00:00.0000 ET, -2.3469446388843540e+00, +3.9955895512376394e-01, +2.3206044335975120e+00, -1.6440648488860533e-05, +1.5834963870074390e-05, -1.9353704922229285e-05
01-JUL-2028 12:10:00.0000 ET, -2.3567755377054187e+00, +4.0905260880395300e-01, +2.3089578735750251e+00, -1.6328931615958192e-05, +1.5810476309614071e-05, -1.9468065521973756e-05
01-JUL-2028 12:20:00.0000 ET, -2.3665392580705227e+00, +4.1853144036274070e-01, +2.2972428707647343e+00, -1.6216720903116406e-05, +1.5785557010464217e-05, -1.9581847065190578e-05
01-JUL-2028 12:30:00.0000 ET, -2.3762355046643733e+00, +4.2799519104355799e-01, +2.2854597735807651e+00, -1.6104019575036823e-05, +1.5760206855176517e-05, -1.9695046198672621e-05
01-JUL-2028 12:40:00.0000 ET, -2.3858639840855109e+00, +4.3744360259678094e-01, +2.2736089324750992e+00, -1.5990830870411102e-05, +1.5734426737333603e-05, -1.9807659585972075e-05
01-JUL-2028 12:50:00.0000 ET, -2.3954244048810382e+00, +4.4687641731366723e-01, +2.2616906998944901e+00, -1.5877158028042845e-05, +1.5708217547428188e-05, -1.9919683890731514e-05
01-JUL-2028 13:00:00.0000 ET, -2.4049164775428307e+00, +4.5629337802027115e-01, +2.2497054302858648e+00, -1.5763004303222629e-05, +1.5681580189501776e-05, -2.0031115796363148e-05
01-JUL-2028 13:10:00.0000 ET, -2.4143399145196600e+00, +4.6569422808776828e-01, +2.2376534800819683e+00, -1.5648372953547118e-05, +1.5654515566368033e-05, -2.0141951988095972e-05
01-JUL-2028 13:20:00.0000 ET, -2.4236944302214050e+00, +4.7507871143485936e-01, +2.2255352076961588e+00, -1.5533267275098851e-05, +1.5627024617602219e-05, -2.0252189199624895e-05
01-JUL-2028 13:30:00.0000 ET, -2.4329797410478546e+00, +4.8444657255591750e-01, +2.2133509734857268e+00, -1.5417690656291040e-05, +1.5599108378066020e-05, -2.0361824287724140e-05
01-JUL-2028 13:40:00.0000 ET, -2.4421955653405161e+00, +4.9379755646774903e-01, +2.2011011398157287e+00, -1.5301646094873259e-05, +1.5570767461358741e-05, -2.0470853585504497e-05
01-JUL-2028 13:50:00.0000 ET, -2.4513416234834557e+00, +5.0313140881456020e-01, +2.1887860709264282e+00, -1.5185137252492040e-05, +1.5542003186741169e-05, -2.0579274312278652e-05
01-JUL-2028 14:00:00.0000 ET, -2.4604176378292784e+00, +5.1244787578688378e-01, +2.1764061330322062e+00, -1.5068167339646524e-05, +1.5512816387838614e-05, -2.0687083083579567e-05
01-JUL-2028 14:10:00.0000 ET, -2.4694233327474024e+00, +5.2174670417145652e-01, +2.1639616942563356e+00, -1.4950739711897254e-05, +1.5483208049732780e-05, -2.0794276708214235e-05
01-JUL-2028 14:20:00.0000 ET, -2.4783584346158087e+00, +5.3102764133948677e-01, +2.1514531246444495e+00, -1.4832857744304155e-05, +1.5453179175045114e-05, -2.0900852021121390e-05
01-JUL-2028 14:30:00.0000 ET, -2.4872226718484685e+00, +5.4029043527491982e-01, +2.1388807961253793e+00, -1.4714524815999959e-05, +1.5422730767344117e-05, -2.1006805862505499e-05
