# Sun->Jupiter Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 08:00:00.0000 ET, -7.9453804635357463e+08, -1.7660798719657519e+08, -5.6357400610151716e+07, +2.8028923213920991e+00, -1.1123420817364090e+01, -4.8360134958141510e+00
13-DEC-2028 08:10:00.0000 ET, -7.9453636458319795e+08, -1.7661466124129188e+08, -5.6360302215768784e+07, +2.8030089338527140e+00, -1.1123394904721264e+01, -4.8360052276380374e+00
13-DEC-2028 08:20:00.0000 ET, -7.9453468274285400e+08, -1.7662133527046067e+08, -5.6363203816424802e+07, +2.8031255460621392e+00, -1.1123368991097554e+01, -4.8359969590351719e+00
13-DEC-2028 08:30:00.0000 ET, -7.9453300083254278e+08, -1.7662800928408098e+08, -5.6366105412119538e+07, +2.8032421580203644e+00, -1.1123343076492956e+01, -4.8359886900055562e+00
13-DEC-2028 08:40:00.0000 ET, -7.9453131885226440e+08, -1.7663468328215227e+08, -5.6369007002852723e+07, +2.8033587697273803e+00, -1.1123317160907479e+01, -4.8359804205491903e+00
13-DEC-2028 08:50:00.0000 ET, -7.9452963680201912e+08, -1.7664135726467389e+08, -5.6371908588624112e+07, +2.8034753811831767e+00, -1.1123291244341123e+01, -4.8359721506660751e+00
13-DEC-2028 09:00:00.0000 ET, -7.9452795468180704e+08, -1.7664803123164532e+08, -5.6374810169433437e+07, +2.8035919923877448e+00, -1.1123265326793891e+01, -4.8359638803562124e+00
13-DEC-2028 09:10:00.0000 ET, -7.9452627249162829e+08, -1.7665470518306586e+08, -5.6377711745280452e+07, +2.8037086033410743e+00, -1.1123239408265785e+01, -4.8359556096196039e+00
13-DEC-2028 09:20:00.0000 ET, -7.9452459023148310e+08, -1.7666137911893502e+08, -5.6380613316164888e+07, +2.8038252140431563e+00, -1.1123213488756809e+01, -4.8359473384562470e+00
13-DEC-2028 09:30:00.0000 ET, -7.9452290790137148e+08, -1.7666805303925216e+08, -5.6383514882086515e+07, +2.8039418244939807e+00, -1.1123187568266964e+01, -4.8359390668661444e+00
13-DEC-2028 09:40:00.0000 ET, -7.9452122550129366e+08, -1.7667472694401672e+08, -5.6386416443045050e+07, +2.8040584346935375e+00, -1.1123161646796254e+01, -4.8359307948492978e+00
13-DEC-2028 09:50:00.0000 ET, -7.9451954303124988e+08, -1.7668140083322811e+08, -5.6389317999040246e+07, +2.8041750446418181e+00, -1.1123135724344680e+01, -4.8359225224057081e+00
13-DEC-2028 10:00:00.0000 ET, -7.9451786049124014e+08, -1.7668807470688576e+08, -5.6392219550071850e+07, +2.8042916543388126e+00, -1.1123109800912244e+01, -4.8359142495353744e+00
13-DEC-2028 10:10:00.0000 ET, -7.9451617788126469e+08, -1.7669474856498900e+08, -5.6395121096139602e+07, +2.8044082637845111e+00, -1.1123083876498951e+01, -4.8359059762382985e+00
13-DEC-2028 10:20:00.0000 ET, -7.9451449520132375e+08, -1.7670142240753734e+08, -5.6398022637243256e+07, +2.8045248729789036e+00, -1.1123057951104801e+01, -4.8358977025144831e+00
13-DEC-2028 10:30:00.0000 ET, -7.9451281245141721e+08, -1.7670809623453015e+08, -5.6400924173382536e+07, +2.8046414819219816e+00, -1.1123032024729799e+01, -4.8358894283639255e+00
13-DEC-2028 10:40:00.0000 ET, -7.9451112963154542e+08, -1.7671477004596683e+08, -5.6403825704557203e+07, +2.8047580906137348e+00, -1.1123006097373946e+01, -4.8358811537866293e+00
13-DEC-2028 10:50:00.0000 ET, -7.9450944674170852e+08, -1.7672144384184679e+08, -5.6406727230766997e+07, +2.8048746990541535e+00, -1.1122980169037245e+01, -4.8358728787825953e+00
13-DEC-2028 11:00:00.0000 ET, -7.9450776378190660e+08, -1.7672811762216949e+08, -5.6409628752011657e+07, +2.8049913072432284e+00, -1.1122954239719698e+01, -4.8358646033518227e+00
13-DEC-2028 11:10:00.0000 ET, -7.9450608075213993e+08, -1.7673479138693425e+08, -5.6412530268290937e+07, +2.8051079151809493e+00, -1.1122928309421310e+01, -4.8358563274943140e+00
13-DEC-2028 11:20:00.0000 ET, -7.9450439765240860e+08, -1.7674146513614061e+08, -5.6415431779604562e+07, +2.8052245228673081e+00, -1.1122902378142077e+01, -4.8358480512100686e+00
13-DEC-2028 11:30:00.0000 ET, -7.9450271448271251e+08, -1.7674813886978784e+08, -5.6418333285952300e+07, +2.8053411303022937e+00, -1.1122876445882014e+01, -4.8358397744990897e+00
